                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0989,                 2.2273,                 2.4916,                0.85381,                0.76974,                0.82126,                 0.4644,                 1.5184,                 1.4594,                 1.7606,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.4644,                 1.0853,                 1.7237,                0.94522,                0.86116,                0.91692,                0.53004,                 1.4126,                0.93726,                 1.6154,               0.000893,               0.000893,               0.000893
                      3,                 1.3467,                0.90215,                  1.615,                0.95208,                0.87101,                0.92918,                0.53681,                 1.4573,                0.80707,                 1.6116,             0.00067983,             0.00067983,             0.00067983
